F_temp,F_wind_speed,F_humidity,F_total_cloud_cover_t,F_precipitation,F_wind_direction,PowerAggregate
-3.5,1.4,75.0,1,0.0,20.0,0.0
-3.1,2.2,72.0,3,0.0,18.0,0.0
-4.2,2.0,77.0,1,0.0,18.0,0.0
-4.9,1.7,80.0,1,0.0,18.0,0.0
-5.2,1.7,82.0,1,0.0,18.0,0.0
-4.5,2.7,79.0,3,0.0,18.0,0.0
-5.1,2.6,81.0,1,0.0,18.0,0.0
-5.5,1.2,83.0,1,0.0,25.0,0.0
-5.3,1.5,84.0,1,0.0,18.0,0.6399999999557622
-3.3,1.5,79.0,3,0.0,16.0,4.290000000037253
0.1,1.4,65.0,3,0.0,5.0,10.429999999993015
3.1,0.6,54.0,3,0.0,36.0,13.059999999997672
7.5,0.7,38.0,3,0.0,14.0,17.40999999997439
8.8,0.5,34.0,4,0.0,27.0,10.270000000018626
9.6,1.5,28.0,4,0.0,25.0,11.460000000020955
9.9,1.7,30.0,4,0.0,25.0,8.699999999953434
10.0,0.8,33.0,4,0.0,27.0,8.64000000001397
9.5,0.5,35.0,3,0.0,27.0,44628.70000000001
7.8,0.6,42.0,4,0.0,11.0,1.1599999999743886
6.5,1.0,48.0,4,0.0,25.0,44622.62999999995
5.4,1.1,53.0,4,0.0,14.0,44622.62999999995
5.2,1.2,57.0,4,0.0,20.0,44622.62999999995
4.4,0.2,61.0,4,0.0,0.0,0.0
3.9,0.2,68.0,4,0.0,0.0,0.0
3.7,1.6,68.0,3,0.0,20.0,0.0
2.4,1.4,72.0,3,0.0,16.0,0.0
0.8,1.4,78.0,3,0.0,14.0,0.0
0.5,0.9,81.0,4,0.0,18.0,0.0
1.7,1.3,79.0,4,0.0,18.0,0.0
1.9,1.9,79.0,4,0.0,18.0,0.0
2.1,1.2,83.0,4,0.1,20.0,0.0
2.0,0.2,88.0,4,0.0,0.0,0.0
2.0,0.2,89.0,4,0.0,0.0,0.15999999997438863
2.6,0.3,90.0,4,2.3,0.0,1.150000000023283
3.2,0.1,91.0,4,0.0,0.0,2.0799999999580905
3.7,0.6,90.0,4,0.0,32.0,2.8500000000349246
4.2,0.4,90.0,4,2.4,0.0,2.7199999999720603
4.8,1.0,90.0,4,0.0,36.0,2.6600000000325963
5.3,3.6,88.0,4,0.0,2.0,3.169999999983702
5.2,3.2,87.0,4,1.5,36.0,4.029999999969732
5.1,3.7,87.0,4,0.0,36.0,3.550000000046566
4.8,3.3,86.0,4,0.0,36.0,1.9499999999534339
4.7,2.0,84.0,4,0.7,36.0,0.4800000000395812
4.9,3.4,79.0,4,0.0,36.0,0.0
4.9,3.5,78.0,4,0.0,36.0,0.0
4.6,3.4,78.0,4,0.0,36.0,0.0
4.8,3.1,74.0,4,0.0,34.0,0.0
4.6,2.9,74.0,4,0.0,2.0,0.0
4.5,2.5,72.0,4,0.0,2.0,0.0
4.4,2.0,71.0,3,0.0,2.0,0.0
3.9,0.5,75.0,3,0.0,2.0,0.0
3.3,0.9,83.0,4,0.0,9.0,0.0
1.6,1.8,86.0,1,0.0,34.0,0.0
0.3,0.5,88.0,3,0.0,11.0,0.0
-0.3,1.5,91.0,3,0.0,11.0,0.0
-0.3,0.6,91.0,4,0.0,14.0,0.0
-0.5,0.2,92.0,3,0.0,0.0,0.39000000001396984
0.3,1.1,92.0,4,0.0,7.0,4.25
2.4,0.9,88.0,3,0.0,11.0,7.519999999960419
5.4,2.5,68.0,4,0.0,25.0,14.790000000037253
7.8,4.0,58.0,1,0.0,25.0,28.989999999990687
9.1,1.8,50.0,1,0.0,32.0,26.429999999993015
10.7,3.6,40.0,1,0.0,25.0,31.96999999997206
11.4,2.5,35.0,1,0.0,27.0,26.75
10.0,2.6,33.0,3,0.0,32.0,14.460000000020955
9.0,4.4,34.0,3,0.0,29.0,7.559999999997672
7.5,0.8,41.0,3,0.0,23.0,1.5599999999976717
4.0,1.6,63.0,1,0.0,16.0,0.0
3.0,2.0,70.0,1,0.0,18.0,0.0
1.9,2.6,75.0,1,0.0,18.0,44651.909999999974
1.2,1.0,77.0,3,0.0,16.0,44651.909999999974
1.1,2.1,78.0,3,0.0,20.0,0.0
0.7,1.5,80.0,3,0.0,20.0,0.0
0.2,2.3,83.0,3,0.0,18.0,44651.909999999974
3.1,4.3,64.0,3,0.0,32.0,44651.909999999974
2.7,5.3,63.0,3,0.0,32.0,0.0
2.3,4.6,62.0,1,0.0,29.0,44651.909999999974
2.5,3.1,59.0,3,0.0,29.0,44651.909999999974
2.6,6.7,59.0,4,0.0,32.0,44651.909999999974
2.1,3.8,57.0,1,0.0,29.0,44651.909999999974
1.7,6.5,60.0,3,0.0,32.0,10416.520000000019
1.6,7.2,39.0,1,0.0,29.0,10411.080000000016
2.2,5.6,39.0,1,0.0,32.0,20.260000000009313
2.5,9.9,31.0,1,0.0,29.0,30.619999999995343
3.3,6.7,20.0,1,0.0,32.0,36.679999999993015
3.5,7.0,19.0,1,0.0,32.0,37.88000000000466
3.0,8.7,17.0,1,0.0,32.0,35.55999999999767
2.3,8.8,15.0,1,0.0,32.0,29.849999999976717
1.7,7.8,18.0,1,0.0,32.0,21.150000000023283
