dev_id,mana_day,mana_hh,mana_mm,gr_id,now_kw,min_kw,tot_kw,run_yn,com_yn,bms_soc,bms_soh,min_bin,min_bout,tot_bin,tot_bout,dc_v,dc_a,dc_kw,ac_v_r,ac_v_s,ac_v_t,ac_a_r,ac_a_s,ac_a_t,act_kw,ract_kw,pw_fact,hz,box_temp,max_v,min_v,max_temp,min_temp,run_stop_dat,dev_temp,run_mod,target_value,grid_bin,grid_bout,slope_sun,horizon_sun,module_temp,air_temp,wind_speed,avg_acc_kw,tot_kepco_kw,day_kw,ac_v_r_s,ac_v_s_t,ac_v_t_r,psvm,nsvm,zsvm,pscm,nscm,zscm
310001,20220315,09,54,310,0.26,0.00,0.00,R,1,0.00,0.00,0.00,0.00,73365.00,69191.00,799.73,0.01,0.00,401.88,400.07,400.13,0.14,0.40,1.68,0.26,0.00,1.00,60,24.30,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,37,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.96,0.00,0.00,402.61,399.16,401.34,0.11,0.42,1.39,0.20,0.00,1.00,60,26.47,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,44,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,785.10,0.02,0.00,402.58,399.63,401.63,0.17,0.48,1.43,0.20,0.00,1.00,60,26.45,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,43,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,785.09,0.03,0.00,403.04,399.75,401.61,0.18,0.48,1.43,0.20,0.00,1.00,59,26.46,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,39,310,0.21,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.98,0.00,0.00,402.64,399.23,401.11,0.12,0.43,1.40,0.21,0.00,1.00,60,26.47,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,34,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.92,0.00,0.00,403.03,399.39,401.48,0.13,0.43,1.41,0.20,0.00,1.00,60,26.45,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,32,310,0.21,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.93,0.01,0.00,401.87,398.43,400.61,0.14,0.45,1.43,0.21,0.00,1.00,60,26.45,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,42,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,785.06,0.03,0.00,402.88,399.93,401.89,0.15,0.47,1.43,0.20,0.00,1.00,60,26.49,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,36,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.98,0.01,0.00,403.24,399.55,401.58,0.13,0.45,1.43,0.20,0.00,1.00,60,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,38,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.99,0.01,0.00,402.68,399.44,401.33,0.11,0.43,1.40,0.20,0.00,1.00,60,26.47,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
